content,Sentiment
"I bru lpas tgk KKN Di Desa Penari tu. Not bad. Cerita dia menarik, kurang cliche. Maybe sbb from a true story 🤷🏻‍♀️. Tkde la se boring and lame mcm yg org complain.",negative
"Film yg mengecewakan dan gak sesuai ekspektasi:
-dr. strange multiverse of madness
-ant man quantumania
-thor: love and thunder
-ku kira kau rumah
-KKN desa penari
-black widows
-the call
-peninsula",positive
"siomay
cilor
Iron man 3 
Cilok
coklat payung 
save your tears
Starboy 
Es Kado
doctor strange
pentol
merah
titanic
kkn di desa penari
chess
jingga 
harpot
- otto
- avengers
Nila
Bankroll
avengers
blinding nights
Titanic
Seblak
Lion king
Captain marvel",negative
kkn di desa penari its a waste of money i'd say,negative
"@nct_menfess jaemin yum yum jakarta ver, nomin plaza indonesia, chenle aromasop seafood, renjun food hall PI, wahana kkn desa penari, chenle lawson, dreamies ancol, dreamies nyobain makanan khas indo, semua udah setahun yang lalu guys time flies so fast 🥲",positive
KKN Desa Penari. It's an Indonesian movie but god how i hate that movie so much,negative
"Pengumuman mainnya bsk aja, Oppa malem ini mau nonton KKN Desa Penari :* maaf yg udah excited, tunggu Oppa bsk ya. Bsk masih bs semangat kan? ^^",positive
Aku seram doh klu keluar2 toilet jumpa mcm ni. Terus ingat KKN desa penari,negative
"Starwars
Parasite
Squid game
Semua drakor 15thn terakhir ini (kec the world of married apadah lupa judul)
Semua film makoto shinkai(kec kimi no na wa)
SAO :V
Kkn desa penari
Semua seri GoTG (padahal film marvel lainnya nonton wkwk)",negative
"KKN di desa penari, squid game, mencuri raden saleh, the glory, penthouse.",negative
This is so dramatic help 😭😭😭 its ok i'll just take it as another fictional story like kkn desa penari and friends,positive
"kkn di desa penari. ga tau kenapa ga pengen aja, takut ga sesuai ekspektasi haha. lagian udah tau juga jalan ceritanya jadi berasa dapet spoiler duluan",positive
"squid game
tokyo revengers
kkn desa penari 
layangan putus
dll",negative
"@moviemenfes obviously the one and only, the most watched Indonesian movie, kkn di desa penari",positive
"@moviemenfes Bridgerton, elite, marvel universe, squid game, wednesday, alice in borderland, all of us are dead, the last of us, queen charlotte, sewu dino, kkn desa penari",negative
watching kkn di desa penari rn bima looking kinda cute ngl,positive
@vetementschan nggak yg banget tapi so much better than kkn desa penari,positive
@moviemenfes Kkn desa penari :( orgnya dh prgi pula,negative
@moviemenfes kkn di desa penari full version,positive
@moviemenfes KKN di desa penari uncut,negative
KKN desa penari :)) maap https://t.co/po21hluzNh,positive
"Overall aku kasih 6/10 buat Sewu Dino. Definitely better than KKN di Desa Penari. 

Cuman ya masih di bawah ekspektasi yang aku dapatkan di scene pertama. Tapi jangan salah, kalo bakal ada film-film lanjutannya sih aku penasaran buat nonton~ https://t.co/dtfFZaziJC",positive
#nowwatching KKN Di Desa Penari. This is the most watched movie in Indonesian cinema history? Boring je…. 🤨 https://t.co/yskVMueF6B,negative
"KKN di Desa Penari (2022) is finally available to stream on Prime in the US! 🇮🇩

I’ve seen this film on several lists of scariest(?) Indonesian horror films and can’t wait to check it out this weekend! https://t.co/sLY3Vs101S",positive
No PHP! KKN Di Desa Penari [Uncut] Tayang April 2022 https://t.co/Wkvlr6Zv7J,negative
Manoj Punjabi Yakin KKN Di Desa Penari [Uncut] Puaskan Penonton https://t.co/fMP9olprMN,negative
"@svastamitaa @SupraModif @moviemenfes eh banyak ka, true to love, tale of the nine tailed 1938 (on going), jinny's kitchen, kkn desa penari extended, miracle in cell no.7 versi indo, dll😭",positive
Yg saya salut banget sih di pemilihan cast yg relatif fresh. Bukan pake aktor yg itu2 aja. Kayaknya dari KKN Desa Penari ini pilihan castnya emang banyak kasih kesempatan ke aktor2 yg relatif fresh.,positive
"Awalnya ngira bakal mirip2 sama KKN Desa Penari yg masih pake bumbu2 komedi buat entertainment. Ternyata Sewu Dino bener2 dark, bener serius dari awal sampe akhir.",negative
@BeatitudeFair happy ending dong biar ratingnya gede ngalahin film kkn di desa penari 🙇🏻‍♂️,positive
Sorry baru nyadar thread gua panjang banget udah kaya KKN di Desa Penari.,negative
asal org bgi review dulu KKN desa penari tak best. Bagi aku best kot sbb baru layan tdi like mmg best 8/10,positive
"Just watched KKN Di Desa Penari. Not perfect but I dig it, it's not a horror movie filled with ghosts -like I expected, the delivery, storyline, and cinematography works for me.

Ini ga kepikiran bikin prequelnya gitu? Soal background story desa itu atau asal-usul Badarawuhi?",negative
"Yang engko cakap:
1. KKN Desa Penari 5/5
2. Mencuri Raden Salleh ni boleh masuk top 5 best film international 2022

Bunyi tak macam kena bayar ke? Macam tau bukan tuduh kena bayar.",positive
"@tanyakanrl Kejadian pas jaman2 avenger end game sama kkn desa penari. Toilet duduk pada becek sampe ke lantai dan tembok2, tong sampahnya penuh, banyak bekas rambut. Emang ini orang2 habis nonton pd keramas apa yak.",negative
lg chill di real KKN desa penari https://t.co/FiZLHcPcKg,positive
"Masih gapaham sama orang-orang yang bawa anak dibawah umur nonton Evil Dead Rise, dulu KKN di Desa Penari juga sama kasusnya, please bedain rating Parental Guidance sama Rating D, padahal tiap film mau mulai selalu diingetin lo",negative
"Sewu dino, dibanding kkn di desa penari jauhh banget eksekusi filmnya . Sewu dino better karena ngingetin gua ama film2 survival macem saw, vibes survival dapet horor juga dapet. Scene horror nya kurang banyak dan justru malah fokus ke drama antara 3 pembantu; sri, erna, dan dini",positive
"@moviemenfes Kkn di desa penari, eksekusi nya ancur, alur nya aneh, yang natural dan kaya beneran film cuman dua cowok selain bima, padahal potensial banget tapi gak jelas.

The mist, gak jelas, dah.

Qorin, ini tontonan bagi yg butuh ringan2 sih, but me nope.

Ada lagi tapi gak cukup wkwk",positive
I JUST GOT IT lo milih kkn desa penari over evil dead rise? aight phone on the table now and take your medicine.,negative
using kkn desa penari as comparison was quite weird tho?? i dont get it,negative
"@moviemenfes 1. Infinity war
2. Parasite (g tau knp)
3. The batman (3jam)
4. Thor love and thunder (nangis beberapa kali karna terharu)
5. Annihilation
6. Kkn di desa penari
7. Series she hulk 😭😭
8. The ethernals
9. James gunn (bye bye)
10. Spiderman/loki
11. LOKI !
12. Aquaman🫶🏻",positive
"samping rumah orang main gendang ama seruling,bangun""kek ada di kampung KKN desa penari",positive
"@moviemenfes Mungkin maksud sender lebih seru film kkn di desa penari tuh, karna mungkin klo film kkn di desa penari gak terlalu mengerikan dibanding film evil dead rise.",negative
"KKN DI DESA PENARI: Students do community service in a remote village with a history of dancing djinn infestations. I was hoping this would be a send-up of Suharto-era repressive spiritual misogyny but nope, it's just straight-up spiritual misogyny. Grade = F. (Prime)",negative
"1. avengers end game
2. everything everywhere all at once
3. avengers end game
4. kkn di desa penari
5. scary movie
6. spiderman no way home
7. scary movie
8. bad genius
9. -
10. the conjuring
11. scarlet witch
12. bird box",negative
"@salbiahewaza23 Extreme sports cover mata for me hahaha. For me kkn desa penari tu dia bukan jumpscare horror but the concept is horrified when you keep thinking about it paham tak paham tak 😂.
Kalau insidious dgn conjuring ty mmg auto mengucap",positive
"Setelah ada di aplikasi streaming barulah nonton kkn desa penari, isinya black campagn penari : seks, pesugihan, penggoda.",negative
"@moviemenfes Lu bandingkan ini sama KKN? For real?

KKN desa penari cuma bagus thread nya Simpleman doang.",positive
"@sbyfess Saya pernah dapet DM di telegram masih 1 kota
Diajak nemenin nonton film KKN desa penari
Dikasih free, dijemput dr rumah,makan jajan dll
Gak ditanya BB/TB dll
Kukira dia lajang taunya dah beristri dan punya anak:) taunya pas aku udah lostkontak udah lama namanya nongol di ig",positive
WOW baru tauu ada KKN di Desa Penari (extended version) di Prime Video @SimpleM81378523 https://t.co/DiY29zwAII,positive
i can say this based-on-thread movie is better than kkn desa penari. but the movie also lost some epic scene because it wasn’t fully shown compared to the thread. this is a typical movie with tremendously bothersome characters who are too naive and do anything risky.,positive
"Berhubung KKN Di Desa Penari: Luwih Dowo, Luwih Medeni udah tayang di @primeviedoid, mimin mau ngajak kalian yang belum nonton atau baru nonton yang versi Uncut untuk nonton versi extended-nya ini.

Durasinya lebih panjang 40 menit lho! https://t.co/rNIRjuMt7j",negative
@OGendut81 Desa penari KKn yg Uncut urasinya 2jam mas,negative
"Cite Incantation tu ok boleh tahan jugak.. storyline jelas aku faham la sal ape.. cm The Medium tu die cm terabur sikit n tergantung citenye..

 so utk mlm ke3 ni kite tgk cite KKN Di Desa Penari lak.. org ckp seram gak.. tggu sikit lg la baru tgk ..skrg kite makan n mandi dulu https://t.co/PVEaOJfUE5",positive
"KKN di Desa Penari, Captain Marvel, 365 Days, The Gifted Graduation, Jurrasic World yang terakhir, Squid Game, All of Us Are Dead, Danur Sunyaruri",negative
"kali ini horor indo ga ngecewain lah ya. even tho akting mikha tambayong ada beberapa yang kurang natural. tapi dari segi cinematography sampai plotnya, smooth bgt ga kayak kkn desa penari☺️",positive
@moviemenfes KKN desa penari 😭 i did not just waste 35k on that,negative
@moviemenfes KKN desa penari:) pokoknya nyesel banget sampe kepikiran nie refund bisa ga si sayang duit gue,positive
@inlandXXIempire Yes?? They will kill you if they like you that much?? Or kill everyone you love??? Remember kkn di desa penari when the boy ewean with siluman ular?,positive
"@moviemenfes Peninsula, kkn desa penari, duty after school &amp; game of thrones last ep",negative
"Susah. Film horror itu penjualannya paling tinggi, pasarnya udah ada, Di tahap produksi pun formulanya udh banyak. Budget ga terlalu banyak. Angga Sasongko itu spent more than 20 Billion rupiah for Mencuri Raden Saleh. Meanwhile KKN di desa penari spent ±15Bilion",positive
"Mahasiswa sekarang mau KKN aja ribet bgt dah. Manja. Berlebihan.

Gausah overthinking. Selama lo masih dibawah nama univ, you're safe. Ini bukan KKN Desa Penari.

Contoh tu lho, mahasiswa univ sebelah. Dari dulu dikirim KKN ke tempat yg beneran pelosok ga ada yg misuh.",positive
"@rafandra_adi Hahaha ga bisa aku tuh 😭😭😭
Mentok adegannya potong hewan kek di kkn desa penari 😭😭
Makasih ya ardiya",positive
"@undipmenfess mereka taunya kaya di KKN desa penari kali ya..
daerah plosok, susah sinyal, toilet ditengah hutan, tinggalnya di rumah yg lusuh, sampe susah kendaraan..",negative
Watched sewu dino ystd finally but idk i prefer kkn desa penari hahahahahahaa but ngl sewu dino was scary la,negative
"btw, sewu dino tu beshe jewww~~ kkn desa penari best lagi. 👍🏻",positive
menurutku bagusan yang ini dibanding kkn desa penari. Worth it untuk dinonton 8/10 https://t.co/4n9hqjM281,positive
@arbainrambey @hrdbacot Ini yang main kkn desa penari itu ya?,positive
"Tau jawabannya karena ngeliat teori"" dari thread KKN desa Penari :D",positive
"Demen bgt gw ama film yg ada Vino nya, soalnya pasti ada kocak2nya

CGI ama adegan tembak2an oke jg, mantap lah nih film lokal original @primevideoid, wajib bgt dimasukin watching list bareng film lokal lainnya yg baru tayang kek Srimulat, KKN di desa penari, My Sassy Girl, dll😍",positive
"Cuma cuak sikit bila tengok bilik air sebab bahagian atas tu terbuka. Kalau duduk ‘membuang’, bila langut kepala je boleh nampak langit.

But the resort staff assured us that the whole place is private, ada guard + takyah risau pasal outsiders.

Cuma teringat KKN Desa Penari je https://t.co/1BkviV8mkU",positive
"menurutku the whole cerita emang ga berubah, tapi banyak bgt part yg dirubah dan beda dr threadnya (mungkin maksutnya biar ga ketiplek kaya kkn desa penari dr thread jd film tanpa ada perkembangan cerita) disini over perubahan jadi kaya ‘hah apasih maksa bgt’.",positive
"@polimeriazzarin kkn desa penari kmrnn juga ada kan yaah wkwkw, ni malahh sewu dino gaada sm skali, malah ada nyempil lucu2 dikit gtu😭 happy watching kak btww hihihi",positive
"@tanyarlfes gw pgn cerita real yg gw alami waktu viral""nya thread kkn desa penari, gw lagi baca threadnya itu hampir tengah malam, seingat gw itu pas baca dari sudut pandang nur, &amp; pas baca itu hawanya bener"" ga enak bgt asli merinding bgt &amp; gw bacanya pas dikamar sendiri, pas gw baca itu-",positive
"@bulankeIabu Kayanya aku aja yang cemen sih, banyak jumpscare, bloody, KKN desa penari jauh banget ini lebih ngeri 😭",negative
"Film KKN di Desa Penari: Extended version, tayang 4 MEI 🐍💃🏻🐍💃🏻 di Prime, who's excited?  https://t.co/4ZvpPtYR9l",positive
@Injang_Nation @ZainatunAdilah @LordTacaa13 @eyqaley Okay next.. ni dari producer kkn desa penari. https://t.co/QL2V4ugm7N,positive
"Beberapa list film yang dimana aku nontonnya sendiri :
1. Doctor Strange in the Multiverse of Madness - 5 Mei 2022
2. KKN Di Desa Penari - 17 Mei 2022
3. Srimulat : Hil Yang Mustahal - 20 Mei 2022
4. Thor : Love and Thunder - 6 Juli 2022",positive
Widya is fucking strong. Aku kalau mungkin dah bunuh diri. 🥹 #kkndesapenari,positive
"Watching #kkndesapenari . If my college requires me to go deep into the jungle for some curricular stuff, I'd rather fail.",negative
"Udah kesampean wkwk.. lunas uda g penasaran lagi. 
Ada sedikit perbedaan si dari cerita aslinya. As Javanese bagian yg paling ANNOYING (yg sama juga kek kkn desa penari) : dialog campuran indo-jawa yang dimedhok2in. 😮‍💨😮‍💨
But terlepas dr itu worth to watch lah buat hiburan. https://t.co/Ro6bw7CXFH",negative
"@_wcnderlust ️️️ ️
 ️️️
 ️️️
Hahaha menurutku sih 4/10 ya. Persis kayak KKN desa penari sih. Cuma pasti ada lanjutannya itu film. Janur Ireng kan?
️️️ ️
 ️️️
 ️️️",positive
kemarin nonton Sewu Dino. rada bingung karena ada banyak adegan yang engga sesuai sama thread aslinya + bahasa Jawanya kaku banget... but overall it is better than KKN Desa Penari,positive
"Kalo ke situgunung emang suka ada yang main gamelan, tapi baru ngeh yajuga bisa jadi KKN desa penari itu di Sukabumi wkwkw",positive
@wayanrudiantara Emang siapa yg bilang ini mistis atau sebagainya? Itu cuman keinget kkn desa penari ada orang main gamelan di hutan,positive
"@WatchmenID @DisneyPlusID @RapiFilm Karena berhasil menggambarkan santet dan dendam itu sebegitu ngerinya. Membayangkan perubahan wajah pelaku sebelum dan setelah belajar teluh itu, wow!. 
Btw teluh darah dan KKN Desa Penari punya kesamaan. Semua bermula gara gara ews.",positive
"Kkn desa penari, disturbing soalnya jelek.",negative
"1. horror, thriller, romcom
2. interstellar, friend zone, evil dead, along with the gods (susah bgt milihnya hiiks)
3. the shawshank redemption
4. critical eleven bagus
5. conheartist (idk ini underrated atau ga, but ini ga kalah sama lawak ama friendzone)
6. KKN desa penari 😔👎",negative
"watching kkn di desa penari,, hopefully it isn't too scary to the point i cant sleep tonight. https://t.co/ueN7FvSwmR",negative
"#sewudino #reviewfilm 
Rate 8/10
Ada yg aneh di dalam Bioskop~

First of all ini dari gw yg awalnya gk tau kalo ini diangkat dari kisah nyata yg dari thread SimpleMan, gw cuman diajak temen buat nonton, jadi gak kaya waktu nonton film KKN di Desa Penari gw nebak2 scene …",positive
"@dearlymiko KKN TEH NAON? DESA PENARI? 
aku...ga ada xiphos ama iron sting :D",positive
"W bukan bzr, tp mvs sewu 🦖 aga seru sih ya beberapa minor flawsnya kaya mbah karso terlalu muda, boso jowonya awkward. Tp dibanding kkn desa penari ini jauh sih lebih baguss 75 lah nilainya",negative
@aapiz_ Lg best kkn desa penari la,positive
"@mingiring iyaa emang biasa aja, kebanyakan jumpscare itupun juga ga yg serem2 bgt. mana sound fxnya ga kira2. kaget karena setan ❌ kaget karena sound fx ✅

iya dari kkn desa penari emg gt se, mending kalo jawa ya full jawa. kalo indo ya semua aja indo.",positive
"Jangankan nonton sewu dino, kkn di desa penari aja belum nonton :(",negative
"@beomiearyn Engga mau deh. Tau ga, pas lihat KKN desa penari aja tutup mata trs. Padahal kata yg lain ga serem :)",positive
"Sewu Dino! The scariest movie I've watched this month, I didn't expect too much since KKN Desa Penari, I already read the thread before, but for Sewu Dino, this one was very frightening to me. The tense, the atmosphere, it didn't give me time to breathe. —",negative
"Sudah dikecewakan dengan KKN Desa penari, kembali dikecewakan dengan Sewu Dino. Sayang banget 2 tulisan horror yg sangat berpotensi jadi film yg (mungkin) bisa mengalahkan universe horrornya James Wan atau bahkan Steven King. Ya sudahlah.",negative
"been finished watchin KKN di Desa Penari in Disney Hotstar (*my brother asked me to watch it together since he never watched the movie neither I do 🤣)
And I found it so boring since the movie only focuses on its drama (too many crying scenes anw) even though I've read the thread https://t.co/epQPC127oX",negative
"nonton sewu dino, kelebihannya dibanding kkn desa penari cuma 1, ga ada kamera muter2 yg bikin kepala pusing dan happy ending, kalo lu semua berharap endingnya happy ga kayak kkn.",positive
"@JatIkhwan Best juga. I tgk malam, so terasa vibe serem tu. Rasanya pengarah yg sama dgn kkn desa penari atau ada kaitan camtulah. For me yg ni lagi best dari kkn. Ada plot twist yg i rasa tak expect tapi taktau org lain blh expect ke tak plot twist tu 😂",positive
@adlynalin Bau2 kkn di desa penari is still strong with this one,positive
@dakjalreallife Gasss better than kkn desa penari,positive
"Raya movie/series with cousies

1. Re/member
2. KKN di Desa Penari
3. Alas Pati
4. Sunyi
5. Ms. Marvel
6. Moon Knight",negative
"@hendraCEO @moviemenfes tapi menurutku lebih better drpd kkn desa penari. krn alurnya masih tertatalah, meskipun banyak holenya palagi peran sopir ama mbah dukunnya",positive
@hendraCEO @moviemenfes (c) dan better than kkn desa penari. tp ya balik lg ke preferensi masing2 sih…,positive
eh tp better sewu dino drpd kkn desa penari klo kata gw,positive
"@dilaseyo Its a slow burn kind of seram, tak slow mcm KKN desa penari, i give it seram 9/10 😲👍🏼",negative
@moviemenfes ini better sih drpd kkn desa penari 🥲,positive
"8,5/10

Tegangnya dapet banget, sengarturihnya yg bikin tambah serem ☝️☝️ minusnya cuma bahasa jawanya malesin dicampur campur wkwkkw but apparently way better than kkn di desa penari https://t.co/U6TR2wIEko",positive
"—Ah, sama part yang masuk alam sukma, itu kece juga sih. Misal gitu mau bandingin sama KKN Desa Penari karena ini sama-sama dari karyanya Simpleman, ini jelas lebih bagus 👍🏻. Yang nanya ini worth to watch gak, gue akan jawab iya ☝🏻. 

Sekian. 🫶🏻",positive
"Siapa yang suka desa penari kkn, boleh lah nonton sewu dino. It's all about ilmu hitam and what it does to innocent person 🥲",positive
Aku baru lepas tengok Sewu Dino tadi. Ya Allah seramm!!! 😭 lagi best dari kkn desa penari,positive
"Sewu Dino is better than KKN Desa Penari. Pergi beli ticket sekarang!! Hantu dia cam kelakar sikit tapi jalan cerita dia best 😉.
#sewudino",positive
"@fatalinject Lebih bagus dibanding adaptasi KKN di Desa Penari, mas. Cuma ganggu banget dialog bahasa Jawa - Indonesia nya. Sound effects nya kayanya gak hanya bertujuan bikin kaget tp juga bikin budeg :(",negative
"Sebelum nonton aku emang ga mau liat banyak review atau spoiler, jd ya cuma dr trailer yg udh aku tonton jauh2 hari + threadnya yg udh aku baca dr lama jg jd ingetanku waktu nonton ga fresh bgt, trus
waktu liat sneak peak di kkn desa penari, serem parahh bahkan aku ga berani liat",positive
"rate 9/10 untuk SEWU DINO ✨
Tegang nya dapet banget anjayyyyy
Lebih better horor nya di banding KKN DESA PENARI. 
Pas nonton w ngomong terus ""bego bego bego"" Ke si sri TAPI dia yang lebih pinter (jadi gimana(?) 🤔) 
Ya intinya recommended di tonton siee https://t.co/7utRFFFmgH",positive
“From the producer and author of KKN Desa Penari” 😩😩 tacodd la kecewa mcm tgk KKN.. tp takpe la kasi peluang lagi skali hahaha,positive
"Oh, agak kecewa klimaksnya terkesan too easy. Apa ya, ada rasa ""masa gitu doang sih"" sambil berharap ada kejutan lain wekwkwkwk. Tapi tetep, overall experience-nya oke. Lebih oke dibanding KKN Desa Penari (versi thread).",positive
@elynnali Kkn Desa penari tu ke? Hahaha sorry tak tahu,negative
@SimpleM81378523 Sewu dino lebih dark dr kkn desa penari next kayaknya janur ireng om SM 👍 hnya bisa nonton bioskop setaun skali krn masih punya 2 bocil dan momennya pas lebaran jdi bocil bisa ditinggal dititipin mbahnya 😃 https://t.co/WFTyRSsS1C,negative
"ternyata sewu dino not bad la yach, gue kira jelek bgt kaya kkn desa penari. malah bikin kepo kelanjutannya gmn ekwk",positive
@khjsgirl @alxsimanjuntak @moviemenfes kl ga baca threadnya lumayan serem dan bagus sih tp kl baca threadnya keknya bakal blg b aja (kl aku liat org di twt). aku pribadi gabaca threadnya makanya blg mayan serem dan bagus dengan alur yg rapi. better dari kkn desa penari kl mnrtku,positive
@moviemenfes Worth si rat ku 7/10 buat sewu dino lebih baik dari kkn desa penari,positive
@Derezedd Sewu Dino better dari KKN Desa Penari tak?,positive
Lagi better dari kkn desa penari?,positive
"mvs honest review. 

barusan nonton ini, overall not bad lah 7,5/10 menurut gue. sutradara dan penulis script juga kayaknya belajar dr kritik waktu kkn di desa penari soal yg bilang kalau alurnya terlalu sama kayak thread jadi rada bosen nontonnya. 

cukup banyak hal yg  (cont..) https://t.co/DJs3zDD9kh",positive
"@moviemenfes Buzzer kkn desa penari, kanzab sama the little mermaid",negative
"Walau begitu, kalau dibanding KKN Desa Penari, film ini utuh secara cerita dan masih bisa menghadirkan beberapa scene yang rada creepy.

#ReviewnyaDundhee #sewudino",negative
sewu dino better lah dbanding kkn desa penari 😂 tapi msh kurang serem wkwk,positive
"ngomong apasih nder? klo u nuduh film pake buzzer tp yg disebut itu film laku kyk kkn di desa penari mungkin gw masih percaya dah, lha ini lu nuduh film yg literally ga laku di bioskop

klopun emg bener ada buzzernya I'm pretty sure they did a pretty piss poor job 🤦‍♂️",positive
"biasa je ceritanya, expectation aku agak tinggi macam kkn desa penari tu. tapi sound system dkt alamanda sumpah bingit namampos, spoil mood seram tu https://t.co/w0Wb69jwGV",positive
"banyak org yg bilang film ini gk sesuai dgn ekspektasi mereka, which is understandable karena thread asli film ini memang lebih detail dan seram. honestly, it’s not up to my expectation either but this movie has a lot of improvements (definitely much better than kkn desa penari)",positive
"review sewu dino: 8/10

lumayan seru menurut aku, lebih bagus dibanding kkn desa penari. acting para actor dan actress di film ini jg lebih bagus (lebih ekspresif dan emotional). suasana dari film ini yg paling bikin mencengkam menurut aku, it makes you feel VERY UNEASY.",positive
even worse than kkn di desa penari 😭😭😭,negative
Not bad and better than kkn desa penari. Cuma backsound music nya mengganggu banget gak cocok buat orang yg punya lemah jantung 🥹. Terus logat bahasa jawanya aneh.,positive
"Tentu ini lebih baik ketimbang KKN Desa Penari, tapi bukan berarti bagus. 

Sebenarnya suka banget sama konsep horor ruang sempit yg ditawarin SEWU DINO. Cerita ttg perempuan2 yg dipekerjakan u/ jagain orang kesurupan karena santet 1000 hari ditambah ada nama Kimo Stamboel di bangku sutradara, jelas menjanjikan. 

Tapi sayang idenya yg horor banget itu berasa disia-siakan. Rating remaja bikin kebebasan Kimo untuk bisa total brutal jadi terbatas. 

Mitologinya santetnya gak jelas, seperti disengaja disimpan untuk seri2 selanjutnya. Gak perlu juga pake Rio Dewanto dan Martinho Lio yg malah tampil seperti cameo.

Narasi yg gak konsisten ditambah dialog Jawa asal2an bikin SEWU DINO kehilangan banyak potensinya jadi horor yg bisa diingat lama.  

3/5",negative
"masa lebaran tahun kemarin nobarnya kkn di desa penari, sabi nih kali ini nobar evil dead, tapi lama juga ya masih 5 mei😮‍💨",negative
"@convomfs sorry to say, jujur ini cerita buat gw lama-lama makin kesini makin kesana; bikin curiga kalo si noor sengaja bkin thread buat nyari audience (biar threadnya viral terus dibukuin / dijadiin film kaya kkn desa penari) soalnya pemilihan kalimat dia beda banget—",negative
"@ryeaaen nah just another kkn di desa penari kind of thread, paling abis ini jadi film💀",positive
"Review abal-abal gue buat Sewu Dino Movie : 8 / 10.

Dulu KKN desa penari aku kasih 7/10, Secara jalan cerita much better than KKN, walopun gak 100% sama dengan versi thread atleast bisa dinikmatin lah itu positifnya, negatifnya- https://t.co/Kf7Bc9kvYC",positive
@tanyakanrl Rate sewu dino dong guys. Mirip KKN Desa Penari atau lebi better?,positive
